epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,4374.99,1.14347,0.62604,0.93274,0.88502,0.79641,0.88474,0.56785,1.0745,0.57994,0.95761,0.0004358,0.0004358,0.0004358
160,4402.31,1.13478,0.62574,0.93137,0.88937,0.78922,0.88528,0.56588,1.0767,0.59231,0.95962,0.0004259,0.0004259,0.0004259
161,4429.49,1.14289,0.62517,0.92996,0.89226,0.79656,0.88895,0.57507,1.06068,0.58522,0.95441,0.000416,0.000416,0.000416
162,4456.87,1.1424,0.62678,0.92788,0.88181,0.79881,0.88785,0.56619,1.07761,0.58901,0.95931,0.0004061,0.0004061,0.0004061
163,4483.96,1.12644,0.62329,0.92151,0.88492,0.80577,0.88955,0.57077,1.06406,0.58681,0.95372,0.0003962,0.0003962,0.0003962
164,4511.09,1.12987,0.61953,0.92379,0.88108,0.79431,0.88192,0.56098,1.07829,0.59548,0.9582,0.0003863,0.0003863,0.0003863
165,4538.3,1.13182,0.62066,0.92553,0.88397,0.79131,0.88184,0.56103,1.07788,0.58718,0.95854,0.0003764,0.0003764,0.0003764
166,4565.4,1.13456,0.61994,0.92606,0.8909,0.79616,0.88598,0.56791,1.06593,0.58077,0.9563,0.0003665,0.0003665,0.0003665
167,4592.84,1.11752,0.61347,0.92835,0.898,0.79396,0.88908,0.57646,1.05561,0.57989,0.95268,0.0003566,0.0003566,0.0003566
168,4620.29,1.12901,0.61922,0.9257,0.88641,0.80566,0.89119,0.5792,1.05679,0.58144,0.95297,0.0003467,0.0003467,0.0003467
169,4647.64,1.12307,0.61355,0.92446,0.88881,0.80238,0.89139,0.57681,1.05427,0.57731,0.95199,0.0003368,0.0003368,0.0003368
170,4675.05,1.11731,0.61014,0.92504,0.88529,0.79509,0.88764,0.57456,1.05401,0.58053,0.9508,0.0003269,0.0003269,0.0003269
171,4702.68,1.13156,0.61476,0.92653,0.89661,0.792,0.88952,0.57854,1.05407,0.57801,0.95116,0.000317,0.000317,0.000317
172,4730.36,1.11258,0.61095,0.92274,0.8891,0.7944,0.88796,0.57209,1.06125,0.57685,0.95572,0.0003071,0.0003071,0.0003071
173,4757.84,1.1139,0.60741,0.92186,0.88853,0.79682,0.886,0.57233,1.06542,0.58019,0.95313,0.0002972,0.0002972,0.0002972
174,4785.14,1.10714,0.6045,0.92007,0.8881,0.79947,0.88711,0.56837,1.06562,0.57823,0.95436,0.0002873,0.0002873,0.0002873
175,4812.45,1.10934,0.60913,0.91893,0.89295,0.79594,0.88792,0.57268,1.06306,0.57954,0.95251,0.0002774,0.0002774,0.0002774
176,4839.58,1.10569,0.60671,0.92064,0.8884,0.79375,0.88539,0.56694,1.07211,0.58185,0.95535,0.0002675,0.0002675,0.0002675
177,4867.01,1.1034,0.60532,0.92222,0.88995,0.79704,0.88552,0.56829,1.06516,0.57946,0.95389,0.0002576,0.0002576,0.0002576
178,4894.59,1.11259,0.609,0.91793,0.8954,0.795,0.8871,0.57026,1.06336,0.57932,0.95205,0.0002477,0.0002477,0.0002477
179,4922.26,1.10704,0.60323,0.91895,0.89896,0.78902,0.8863,0.56743,1.06263,0.57978,0.95081,0.0002378,0.0002378,0.0002378
180,4949.76,1.11523,0.61049,0.91665,0.89354,0.80168,0.88899,0.57139,1.06072,0.57746,0.95174,0.0002279,0.0002279,0.0002279
181,4977,1.08855,0.5973,0.91766,0.89801,0.79638,0.8907,0.57644,1.05306,0.57502,0.94912,0.000218,0.000218,0.000218
182,5004.52,1.09927,0.60214,0.91709,0.89971,0.79351,0.89112,0.57413,1.06035,0.57575,0.95303,0.0002081,0.0002081,0.0002081
